Title,Topics
KingHenryVIPart2.txt,"Topic 21,Topic 29,Topic 27,Topic 36,Topic 46,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5"
MerryWivesOfWindsor.txt,"Topic 36,Topic 29,Topic 27,Topic 3,Topic 46,Topic 1,Topic 2,Topic 4,Topic 5,Topic 6"
KingHenryVIPart3.txt,"Topic 21,Topic 29,Topic 27,Topic 46,Topic 16,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5"
Tempest.txt,"Topic 29,Topic 46,Topic 21,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7"
KingHenryVIPart1.txt,"Topic 21,Topic 29,Topic 27,Topic 16,Topic 3,Topic 46,Topic 1,Topic 2,Topic 4,Topic 5"
Cymbeline.txt,"Topic 29,Topic 16,Topic 27,Topic 21,Topic 46,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5"
Coriolanus.txt,"Topic 29,Topic 16,Topic 27,Topic 21,Topic 46,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5"
TwoGentlemenofVerona.txt,"Topic 27,Topic 29,Topic 21,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7"
MerchantofVenice.txt,"Topic 29,Topic 27,Topic 46,Topic 21,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6"
JuliusCaesar.txt,"Topic 29,Topic 46,Topic 16,Topic 21,Topic 27,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5"
KingHenryIVPart2.txt,"Topic 29,Topic 36,Topic 21,Topic 27,Topic 46,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5"
KingHenryIVPart1.txt,"Topic 29,Topic 36,Topic 46,Topic 21,Topic 27,Topic 3,Topic 1,Topic 2,Topic 4,Topic 5"
Othello.txt,"Topic 29,Topic 27,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8"
Winter'sTale.txt,"Topic 29,Topic 27,Topic 46,Topic 21,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6"
All'sWellthatEndsWell.txt,"Topic 29,Topic 27,Topic 21,Topic 3,Topic 1,Topic 2,Topic 4,Topic 5,Topic 6,Topic 7"
AMidsummerNight'sDream.txt,"Topic 46,Topic 27,Topic 29,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7"
TamingoftheShrew.txt,"Topic 29,Topic 27,Topic 16,Topic 36,Topic 21,Topic 46,Topic 1,Topic 2,Topic 3,Topic 4"
KINGJOHN.txt,"Topic 21,Topic 29,Topic 46,Topic 27,Topic 3,Topic 16,Topic 1,Topic 2,Topic 4,Topic 5"
TwelfthNight.txt,"Topic 27,Topic 29,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8"
KingLear.txt,"Topic 29,Topic 21,Topic 27,Topic 46,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6"
TroilusandCressida.txt,"Topic 16,Topic 29,Topic 27,Topic 21,Topic 46,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5"
KINGRICHARDIII.txt,"Topic 21,Topic 29,Topic 27,Topic 46,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6"
MeasureForMeasure.txt,"Topic 29,Topic 27,Topic 21,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7"
MuchAdoAboutNothing.txt,"Topic 27,Topic 29,Topic 36,Topic 21,Topic 16,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5"
TimonOfAthens.txt,"Topic 29,Topic 46,Topic 27,Topic 21,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6"
KINGHENRYVIII.txt,"Topic 29,Topic 21,Topic 27,Topic 3,Topic 1,Topic 2,Topic 4,Topic 5,Topic 6,Topic 7"
AsYouLikeIt.txt,"Topic 27,Topic 29,Topic 21,Topic 16,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6"
KINGRICHARDII.txt,"Topic 21,Topic 29,Topic 46,Topic 27,Topic 16,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5"
RomeoandJuliet.txt,"Topic 27,Topic 29,Topic 21,Topic 46,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6"
KINGHENRYV.txt,"Topic 29,Topic 3,Topic 21,Topic 27,Topic 36,Topic 46,Topic 16,Topic 1,Topic 2,Topic 4"
AntonyAndCleopatra.txt,"Topic 29,Topic 16,Topic 46,Topic 21,Topic 27,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5"
Macbeth.txt,"Topic 29,Topic 21,Topic 46,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7"
Love'sLaboursLost.txt,"Topic 27,Topic 29,Topic 21,Topic 46,Topic 3,Topic 16,Topic 1,Topic 2,Topic 4,Topic 5"
Hamlet.txt,"Topic 29,Topic 27,Topic 31,Topic 46,Topic 21,Topic 16,Topic 1,Topic 2,Topic 3,Topic 4"
ComedyofErrors.txt,"Topic 29,Topic 27,Topic 46,Topic 36,Topic 21,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5"
TitusAndronicus.txt,"Topic 29,Topic 21,Topic 46,Topic 16,Topic 27,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5"
