Title,Topics
1597_0,"Topic 33,Topic 40,Topic 6,Topic 45,Topic 26,Topic 19,Topic 1,Topic 2,Topic 3,Topic 4"
1905_0,"Topic 6,Topic 33,Topic 45,Topic 19,Topic 40,Topic 39,Topic 35,Topic 16,Topic 1,Topic 2"
1146_0,"Topic 6,Topic 45,Topic 33,Topic 37,Topic 39,Topic 24,Topic 38,Topic 1,Topic 2,Topic 3"
1940_0,"Topic 6,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 7,Topic 8,Topic 9,Topic 10"
1103_0,"Topic 33,Topic 45,Topic 42,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7"
556_0,"Topic 6,Topic 4,Topic 45,Topic 1,Topic 2,Topic 3,Topic 5,Topic 7,Topic 8,Topic 9"
187_0,"Topic 6,Topic 26,Topic 45,Topic 31,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 7"
513_0,"Topic 6,Topic 33,Topic 37,Topic 43,Topic 39,Topic 5,Topic 8,Topic 9,Topic 20,Topic 35"
981_0,"Topic 6,Topic 33,Topic 45,Topic 12,Topic 40,Topic 10,Topic 28,Topic 22,Topic 49,Topic 5"
90_0,"Topic 6,Topic 9,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 7,Topic 8,Topic 10"
1247_0,"Topic 6,Topic 33,Topic 28,Topic 45,Topic 32,Topic 34,Topic 44,Topic 17,Topic 1,Topic 2"
1696_0,"Topic 6,Topic 45,Topic 46,Topic 17,Topic 28,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5"
1202_0,"Topic 6,Topic 33,Topic 20,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 7,Topic 8"
28_0,"Topic 6,Topic 12,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 7,Topic 8,Topic 9"
286_0,"Topic 6,Topic 10,Topic 33,Topic 45,Topic 21,Topic 44,Topic 30,Topic 1,Topic 2,Topic 3"
657_0,"Topic 6,Topic 46,Topic 34,Topic 32,Topic 9,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5"
612_0,"Topic 45,Topic 6,Topic 8,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 7,Topic 9"
939_0,"Topic 6,Topic 45,Topic 33,Topic 28,Topic 34,Topic 44,Topic 1,Topic 2,Topic 3,Topic 4"
1432_0,"Topic 6,Topic 4,Topic 1,Topic 2,Topic 3,Topic 5,Topic 7,Topic 8,Topic 9,Topic 10"
1477_0,"Topic 33,Topic 6,Topic 38,Topic 45,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 7"
861_0,"Topic 6,Topic 33,Topic 45,Topic 23,Topic 46,Topic 4,Topic 1,Topic 40,Topic 39,Topic 43"
824_0,"Topic 6,Topic 33,Topic 45,Topic 28,Topic 26,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5"
1818_0,"Topic 33,Topic 45,Topic 6,Topic 39,Topic 10,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5"
1733_0,"Topic 33,Topic 6,Topic 45,Topic 20,Topic 17,Topic 30,Topic 48,Topic 15,Topic 38,Topic 1"
1776_0,"Topic 33,Topic 6,Topic 45,Topic 10,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 7"
323_0,"Topic 33,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9"
366_0,"Topic 33,Topic 6,Topic 45,Topic 36,Topic 43,Topic 9,Topic 28,Topic 39,Topic 1,Topic 2"
433_0,"Topic 6,Topic 33,Topic 45,Topic 40,Topic 5,Topic 9,Topic 43,Topic 29,Topic 19,Topic 1"
476_0,"Topic 6,Topic 3,Topic 33,Topic 45,Topic 26,Topic 46,Topic 9,Topic 40,Topic 28,Topic 36"
1023_0,"Topic 33,Topic 10,Topic 25,Topic 28,Topic 5,Topic 22,Topic 44,Topic 17,Topic 37,Topic 26"
1860_0,"Topic 6,Topic 33,Topic 5,Topic 10,Topic 45,Topic 40,Topic 17,Topic 22,Topic 27,Topic 46"
1066_0,"Topic 6,Topic 33,Topic 45,Topic 19,Topic 36,Topic 7,Topic 1,Topic 2,Topic 3,Topic 4"
1825_0,"Topic 33,Topic 6,Topic 28,Topic 45,Topic 10,Topic 5,Topic 9,Topic 1,Topic 2,Topic 3"
732_0,"Topic 6,Topic 33,Topic 45,Topic 9,Topic 25,Topic 37,Topic 4,Topic 1,Topic 2,Topic 3"
777_0,"Topic 6,Topic 12,Topic 33,Topic 47,Topic 39,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5"
1322_0,"Topic 33,Topic 6,Topic 45,Topic 34,Topic 5,Topic 43,Topic 17,Topic 10,Topic 1,Topic 2"
1367_0,"Topic 6,Topic 33,Topic 45,Topic 5,Topic 36,Topic 1,Topic 42,Topic 39,Topic 28,Topic 2"
819_0,"Topic 33,Topic 42,Topic 6,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 7,Topic 8"
