Title,Topics
KingHenryVIPart2,"Topic 21,Topic 29,Topic 27,Topic 36,Topic 46,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5"
MerryWivesOfWindsor,"Topic 36,Topic 29,Topic 27,Topic 3,Topic 46,Topic 1,Topic 2,Topic 4,Topic 5,Topic 6"
KingHenryVIPart3,"Topic 21,Topic 29,Topic 27,Topic 46,Topic 16,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5"
Tempest,"Topic 29,Topic 46,Topic 21,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7"
KingHenryVIPart1,"Topic 21,Topic 29,Topic 27,Topic 16,Topic 3,Topic 46,Topic 1,Topic 2,Topic 4,Topic 5"
Cymbeline,"Topic 29,Topic 16,Topic 27,Topic 21,Topic 46,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5"
Coriolanus,"Topic 29,Topic 16,Topic 27,Topic 21,Topic 46,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5"
TwoGentlemenofVerona,"Topic 27,Topic 29,Topic 21,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7"
MerchantofVenice,"Topic 29,Topic 27,Topic 46,Topic 21,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6"
JuliusCaesar,"Topic 29,Topic 46,Topic 16,Topic 21,Topic 27,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5"
KingHenryIVPart2,"Topic 29,Topic 36,Topic 21,Topic 27,Topic 46,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5"
KingHenryIVPart1,"Topic 29,Topic 36,Topic 46,Topic 21,Topic 27,Topic 3,Topic 1,Topic 2,Topic 4,Topic 5"
Othello,"Topic 29,Topic 27,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8"
Winter'sTale,"Topic 29,Topic 27,Topic 46,Topic 21,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6"
All'sWellthatEndsWell,"Topic 29,Topic 27,Topic 21,Topic 3,Topic 1,Topic 2,Topic 4,Topic 5,Topic 6,Topic 7"
AMidsummerNight'sDream,"Topic 46,Topic 27,Topic 29,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7"
TamingoftheShrew,"Topic 29,Topic 27,Topic 16,Topic 36,Topic 21,Topic 46,Topic 1,Topic 2,Topic 3,Topic 4"
KINGJOHN,"Topic 21,Topic 29,Topic 46,Topic 27,Topic 3,Topic 16,Topic 1,Topic 2,Topic 4,Topic 5"
TwelfthNight,"Topic 27,Topic 29,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8"
KingLear,"Topic 29,Topic 21,Topic 27,Topic 46,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6"
TroilusandCressida,"Topic 16,Topic 29,Topic 27,Topic 21,Topic 46,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5"
KINGRICHARDIII,"Topic 21,Topic 29,Topic 27,Topic 46,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6"
MeasureForMeasure,"Topic 29,Topic 27,Topic 21,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7"
MuchAdoAboutNothing,"Topic 27,Topic 29,Topic 36,Topic 21,Topic 16,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5"
TimonOfAthens,"Topic 29,Topic 46,Topic 27,Topic 21,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6"
KINGHENRYVIII,"Topic 29,Topic 21,Topic 27,Topic 3,Topic 1,Topic 2,Topic 4,Topic 5,Topic 6,Topic 7"
AsYouLikeIt,"Topic 27,Topic 29,Topic 21,Topic 16,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6"
KINGRICHARDII,"Topic 21,Topic 29,Topic 46,Topic 27,Topic 16,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5"
RomeoandJuliet,"Topic 27,Topic 29,Topic 21,Topic 46,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6"
KINGHENRYV,"Topic 29,Topic 3,Topic 21,Topic 27,Topic 36,Topic 46,Topic 16,Topic 1,Topic 2,Topic 4"
AntonyAndCleopatra,"Topic 29,Topic 16,Topic 46,Topic 21,Topic 27,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5"
Macbeth,"Topic 29,Topic 21,Topic 46,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7"
Love'sLaboursLost,"Topic 27,Topic 29,Topic 21,Topic 46,Topic 3,Topic 16,Topic 1,Topic 2,Topic 4,Topic 5"
Hamlet,"Topic 29,Topic 27,Topic 31,Topic 46,Topic 21,Topic 16,Topic 1,Topic 2,Topic 3,Topic 4"
ComedyofErrors,"Topic 29,Topic 27,Topic 46,Topic 36,Topic 21,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5"
TitusAndronicus,"Topic 29,Topic 21,Topic 46,Topic 16,Topic 27,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5"
